,Phase,adj_loc,sample_date,influent_composition,sample_type,location_code_orig,broad_location,batch_end_or_start,ICC_to_TCC,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,assay
236,Phase 1,transition loops (Phase 1),11/27/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.746138776,57718.2492,1.03708752,TCC
339,Phase 1,advanced blend loops,11/27/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.005337895,155401.803,1.00844003,TCC
348,Phase 1,transition loops (Phase 1),11/27/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.993575739,163531.963,1.01467068,TCC
376,Phase 1,advanced feedwater,11/27/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.743609843,217607.601,1.09527776,TCC
418,Phase 1,conventional feedwater,11/27/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.327292506,340327.047,1.0060002,TCC
525,Phase 1,advanced blend loops,11/27/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.016944467,510.526104,1.11662016,ICC
540,Phase 1,advanced blend loops,11/27/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.005337895,829.51849,1.06268808,ICC
780,Phase 1,conventional control loop,11/27/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.587968776,16757.2624,1.04806358,ICC
816,Phase 1,transition loops (Phase 1),11/27/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.746138776,43065.8238,1.00443618,ICC
863,Phase 1,conventional feedwater,11/27/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.327292506,111386.492,1.00140439,ICC
894,Phase 1,advanced feedwater,11/27/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.743609843,161815.154,1.09423415,ICC
217,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_14,DWDS_F,NA,0.762600697,47282.2829,1.05191334,TCC
895,Phase 1,transition loops (Phase 1),11/27/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.993575739,162481.391,1.01124274,ICC
160,Phase 1,conventional feedwater,12/4/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.163835243,22952.9641,1.08238223,TCC
291,Phase 1,conventional control loop,12/4/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.605766065,107419.297,1.00747515,TCC
221,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_17,DWDS_F,NA,0.800436956,49792.9212,1.05410012,TCC
298,Phase 1,advanced blend loops,12/4/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.054345596,114278.441,1.02116142,TCC
325,Phase 1,transition loops (Phase 1),12/4/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.742507652,137742.509,1.00734168,TCC
401,Phase 1,advanced feedwater,12/4/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.703670486,271910.884,1.16435701,TCC
225,NA,"full-scale
distribution system
",4/26/18,not applicable,bulkwater_grab,site_15,DWDS_F,NA,0.773039224,51441.2252,1.02473728,TCC
417,Phase 1,advanced blend loops,12/4/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.084109247,330870.093,1.00830437,TCC
672,Phase 1,conventional feedwater,12/4/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.163835243,3760.50444,1.07185986,ICC
713,Phase 1,advanced blend loops,12/4/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.054345596,6210.53004,1.08886532,ICC
800,Phase 1,advanced blend loops,12/4/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.084109247,27829.2344,1.01658544,ICC
231,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_15,DWDS_F,NA,0.862781359,55023.7907,1.02161186,TCC
836,Phase 1,conventional control loop,12/4/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.605766065,65070.9649,1.02096509,ICC
854,Phase 1,transition loops (Phase 1),12/4/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.742507652,102274.867,1.0064108,ICC
